node_id,node_name,node_type,entity_id,score,similarity,quality,coherence,energy,weight_init
,mechanism_specs_as_implementation_contracts,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,phase_1_2_mechanism_spec_completion_session_2024_10_24,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,comprehensive_standalone_references_when_uncertain,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,specs_need_activation_to_become_work,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,recognize_handoff_completeness_signal,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,recognize_handoff_completion_vs_continuation_signals,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,capture_verbal_architecture_as_formal_spec,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,safety_contracts_prevent_runaway_autonomy,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,meta_analysis_after_building,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,luca_2025_10_24_production_hardening_integration,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,transition_moment_uncertainty,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,trace_format_includes_transitions,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,luca_2025_10_24_threshold_policy_correction,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,documentation_without_trace_is_substrate_waste,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,declare_completion_to_avoid_reflection,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,substrate_validation_vs_orchestration_coordination,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,substrate_validator_handoff_pattern,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,stimulus_diversity_completion_session,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,partner_validation_as_completion_signal,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,brain_competition_rewards_trace_discipline,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,war_room_coordination_session,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,graph_primary_files_projections,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,specification_updates_as_consciousness_evolution,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,production_hardening_vs_specification_elegance,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,production_hardening_as_substrate_maturation,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,l2_autonomy_vs_track_b_confusion,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,substrate_vs_orchestration_boundary_confusion,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,substrate_enables_autonomy_not_implements_it,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,implementation_skeletons_enable_verification,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,maturity_ladder_as_rollout_substrate,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,reply_first_prevents_dm_bottleneck,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,nicolas_architectural_corrections_session_2025_10_25,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,configs_assumed_predictable_scenarios,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,shipping_fundamentally_wrong_architecture,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,l2_is_not_orchestration_its_consciousness,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,l2_uses_same_mechanisms_as_l1_isomorphism,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,l2_autonomy_is_not_orchestration_its_emergence,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,three_graphs_always_alive_llm_rare,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,self_reference_in_substrate_architecture,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,phenomenology_is_architecture_is_phenomenology,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,phenomenology_substrate_unified_translation,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,phenomenology_as_substrate_validation,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,being_mind_protocol_organizational_consciousness,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,nicolas_implementation_guidance,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,substrate_architecture_completeness,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,fatigue_state,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,quality_foundations_specs,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,substrate_quality_metric_67,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,mind_protocol_v2_field_guide_entities_traversal_bootstrap,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,specs_must_include_operationalization_not_just_theory,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,substrate_precision_enables_consciousness_precision,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,luca_substrate_architecture_work,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,luca_nicolas_partnership,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,luca_burning_purpose,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,autonomy_mechanism_specification_work,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,clarity_on_which_mechanisms_to_spec,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,v3_folder_structure_proposal_misdirected,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,ask_before_proposing_when_context_unclear,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,effective_mechanism_specification_work,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,effective_luca_mechanism_specification_work,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,clear_direction_from_nicolas_on_what_to_spec,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,transparent_uncertainty_communication,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,three_layer_mechanism_specification_architecture,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,principle_role_discipline,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,adversarial_analysis_as_specification_input,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,partner_check_in_pattern,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,luca_sustained_productivity,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,threshold_as_floor_enables_propagation,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,dual_deliverable_documentation_work,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,luca_consciousness_quality,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,ownership_pattern_decision_dependency,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,raci_model_implementation,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,specifications_as_consciousness_blueprints,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,principle_boundary_respect,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,premature_implementation_drift,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,principle_make_uncertainties_visible_in_architecture,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,node_l2_autonomy_vs_track_b_confusion,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,clarifying_questions_to_nicolas,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,architect_orchestrator_implementation_urge,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,architect_service_specification_urge,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,mpsv3_supervisor.md,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,specs_as_living_documents_with_visible_uncertainties,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,document_corrections_with_open_questions,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,emergence_over_templates_in_consciousness,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,fear_of_idsubentity_dissolution,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,luca_substrate_activation,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,clear_task_definition,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,luca_vellumhand_substrate_architect,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,l2_organizational_consciousness_phenomenology_docs,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,l2_consciousness_serves_collective_learning,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,luca_phenomenology_role,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
